CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Rating,Year,Contract_Type
S5715,PDP,HCSC INSURANCE SERVICES COMPANY,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",Health Care Service Corporation,4,2013,PART D
S5726,PDP,BLUE CROSS BLUE SHIELD OF KANSAS,Blue MedicareRx,Blue Cross Blue Shield of Kansas,3.5,2013,PART D
S5743,PDP,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY",MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",5,2013,PART D
S5753,PDP,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,WPS Health Insurance,Wisconsin Physicians Service Ins Corporation.,4.5,2013,PART D
S5755,PDP,UNITED AMERICAN INSURANCE COMPANY,United American Insurance Company,Torchmark Corporation,3.5,2013,PART D
S5766,PDP,"FIRST CARE, INC.",Medi-CareFirst BlueCross BlueShield,"CareFirst, Inc.",4.5,2013,PART D
S5768,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,3,2013,PART D
S5775,PDP,PHARMACY INSURANCE CORPORATION OF AMERICA,PICA,Pharmacy Insurance Corporation of America,2.5,2013,PART D
S5795,PDP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,3,2013,PART D
S5805,PDP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2013,PART D
S5810,PDP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,3.5,2013,PART D
S5820,PDP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,PART D
S5840,PDP,"FIRST MEDICAL HEALTH PLAN, INC","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",2.5,2013,PART D
S5857,PDP,PRIORITY HEALTH INSURANCE COMPANY,Priority Health Medicare,Spectrum Health System,2.5,2013,PART D
S5877,PDP,EDUCATORS MUTUAL INSURANCE ASSOCIATION,EMI Health,Educators Mutual Insurance Association,4,2013,PART D
S5884,PDP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,PART D
S5904,PDP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,3.5,2013,PART D
S5907,PDP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,2.5,2013,PART D
S5916,PDP,REGENCE BLUESHIELD OF IDAHO & REGENCE BCBS OF UTAH,Regence BlueShield of Idaho and Regence BCBS Utah,"Cambia Health Solutions, Inc.",4,2013,PART D
S5921,PDP,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,PART D
S5932,PDP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Prescription Drug Plan,CIGNA,2.5,2013,PART D
S5937,PDP,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,Blue Cross and Blue Shield of Louisiana,BlueCross BlueShield of Louisiana,2.5,2013,PART D
S5953,PDP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),2.5,2013,PART D
S5960,PDP,UNICARE LIFE AND HEALTH INSURANCE COMPANY,UniCare,"WellPoint, Inc.",2,2013,PART D
S5966,PDP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PDP,"EmblemHealth, Inc.",4,2013,PART D
S5967,PDP,"WELLCARE PRESCRIPTION INSURANCE, INC.",WellCare,"WellCare Health Plans, Inc.",3,2013,PART D
S5975,PDP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",4.5,2013,PART D
S5983,PDP,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,Express Scripts Medicare,"Express Scripts, Inc.",3.5,2013,PART D
S5993,PDP,HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Healthcare Services, Inc.",3.5,2013,PART D
S6875,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,Select Option,Independence Blue Cross,4,2013,PART D
S7694,PDP,ENVISION INSURANCE COMPANY,EnvisionRx Plus,Envision Insurance Company,3,2013,PART D
S7950,PDP,EXPRESS SCRIPTS INSURANCE CO.,Express Scripts Medicare,"Express Scripts, Inc.",4.5,2013,PART D
S8067,PDP,AVALON INSURANCE COMPANY,Avalon Insurance Company,Capital BlueCross,3.5,2013,PART D
S8841,PDP,"CATAMARAN INSURANCE OF DELAWARE, INC.","Catamaran Insurance of Delaware, Inc.",Catamaran Corporation,5,2013,PART D
H0141,Local CCP,"MCLAREN HEALTH PLAN, INC.",McLarenAdvantage,McLaren Health Care Corporation,3,2014,PART D
H0294,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",3,2014,PART D
H0490,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",3,2014,PART D
H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,2.5,2014,PART D
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,2.5,2014,PART D
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,4.5,2014,PART D
H1419,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,3,2014,PART D
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,4,2014,PART D
H1777,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage, HMO SNP",Catholic Health Care System,3.5,2014,PART D
H1846,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,4.5,2014,PART D
H2034,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",3,2014,PART D
H2161,Local CCP,"UPPER PENINSULA HEALTH PLAN, LLC",Upper Peninsula Health Plan,Marquette General Hospital,3.5,2014,PART D
H2241,Local CCP,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Golden State Medicare Health Plan,4,2014,PART D
H2323,Local CCP,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare Of Michigan,"Fidelis SeniorCare, Inc.",3.5,2014,PART D
H2417,Local CCP,ITASCA MEDICAL CARE,Itasca Medical Care/IMCare Classic,Itasca County Health & Human Services,4,2014,PART D
H2457,Local CCP,METROPOLITAN HEALTH PLAN,MHP,Metropolitan Health Plan,3.5,2014,PART D
H2926,Local CCP,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,4,2014,PART D
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2014,PART D
H3132,Local CCP,"AHF MCO OF FLORIDA, INC.",AHF,AIDS Healthcare Foundation,3.5,2014,PART D
H3144,Local CCP,"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Aetna Inc.,4.5,2014,PART D
H3533,Local CCP,"HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana Health Company of New York, Inc.",Humana Inc.,4.5,2014,PART D
H3708,Local CCP,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,3,2014,PART D
H4123,Local CCP,"MERCYCARE HMO, INC.",MercyCare Health Plans,"Mercy Alliance, Inc.",4.5,2014,PART D
H4199,Local CCP,"FLORIDA HEALTHCARE PLUS, INC.",FLORIDA HEALTHCARE PLUS,"Florida Healthcare Plus, Inc.",3,2014,PART D
H4738,Local CCP,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Holdings of S.C., LLC",2,2014,PART D
H4910,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3.5,2014,PART D
H5207,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",4.5,2014,PART D
H5475,Local CCP,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Health Plan,"Caidan Enterprises, Inc.",3,2014,PART D
H5685,Local CCP,"MIDWEST HEALTH PLAN, INC.",Midwest Advantage,Henry Ford Health System,3,2014,PART D
H5703,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,3.5,2014,PART D
H5832,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2014,PART D
H5852,Local CCP,AIDS HEALTHCARE FOUNDATION,AHF,AIDS Healthcare Foundation,4,2014,PART D
H5943,Local CCP,SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,3,2014,PART D
H5989,Local CCP,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare, Inc.","CenterLight Health System, Inc.",4.5,2014,PART D
H5992,Local CCP,"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"SWH Holdings, Inc.",3.5,2014,PART D
H6801,Local CCP,"AHS - TULSA OKLAHOMA HEALTH PLAN, INC.",Lovelace Medicare Plan,Ardent Health Services.,2,2014,PART D
H6815,Local CCP,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.","Health Net, Inc.",3,2014,PART D
H6864,Local CCP,"GUILDNET, INC.",GuildNet,Jewish Guild Healthcare,3.5,2014,PART D
H6923,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2014,PART D
H7475,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",3,2014,PART D
H7678,Local CCP,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",3,2014,PART D
H7908,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,2014,PART D
H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",3,2014,PART D
H8189,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",Advantage by Managed Health Services,Centene Corporation,2.5,2014,PART D
H8604,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,3.5,2014,PART D
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",3,2014,PART D
H9285,Local CCP,"ATLANTIS HEALTH PLAN, INC.",EASY CHOICE HEALTH PLAN OF NEW YORK,"America?s 1st Choice NY Holdings, LLC",3,2014,PART D
E0654,Employer/Union Only Direct Contract PDP,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,4,2014,PART D
E2332,Employer/Union Only Direct Contract PDP,National Rural Electric Cooperative Association,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,5,2014,PART D
E2630,Employer/Union Only Direct Contract PDP,C and O Employees Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,3.5,2014,PART D
E3014,Employer/Union Only Direct Contract PDP,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,4,2014,PART D
E4744,Employer/Union Only Direct Contract PDP,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,5,2014,PART D
E6322,Employer/Union Only Direct Contract PDP,Kentucky Retirement Systems,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,4.5,2014,PART D
E7316,Employer/Union Only Direct Contract PDP,Union Pacific Railroad  Employes Health Systems,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,3,2014,PART D
E7848,Employer/Union Only Direct Contract PDP,HealthChoice,OMES EMPLOYEES GROUP INSURANCE DIVISION,State of Oklahoma,3,2014,PART D
S0197,PDP,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,Aetna Inc.,3,2014,PART D
S0223,PDP,Health First Health Plans,HEALTH FIRST HEALTH PLANS,Health First,3,2014,PART D
S0655,PDP,Tufts Health Plan Medicare Preferred,TUFTS INSURANCE COMPANY,"Tufts Associated HMO, Inc.",5,2014,PART D
S1030,PDP,BlueRx (PDP),"BCBS ALABAMA, BCBS TENNESSEE",BCBS OF AL & BCBS OF TN,3,2014,PART D
S1480,PDP,PrimeTime Prescription Drug Plan,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,2,2014,PART D
S1822,PDP,HealthPartners National PDP,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",4.5,2014,PART D
S2321,PDP,AmeriHealth Rx PDP,QCC INSURANCE COMPANY,Independence Blue Cross,2.5,2014,PART D
S2468,PDP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,3,2014,PART D
S2505,PDP,Windsor Rx,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,3,2014,PART D
S2874,PDP,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,3,2014,PART D
S2893,PDP,Blue MedicareRx,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,4,2014,PART D
S3440,PDP,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,3.5,2014,PART D
S3521,PDP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",4,2014,PART D
S3994,PDP,HMSA's Medicare Rx Plan,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,5,2014,PART D
S4219,PDP,Health Alliance Medicare Prescription Plan,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,3.5,2014,PART D
S4802,PDP,Windsor Rx,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,4,2014,PART D
S5540,PDP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,3.5,2014,PART D
S5552,PDP,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,3,2014,PART D
S5569,PDP,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,Aetna Inc.,4,2014,PART D
S5580,PDP,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,Torchmark Corporation,3,2014,PART D
S5584,PDP,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,4,2014,PART D
